time, Quad.Est.E.Pos, Quad.Est.S.Z
1.300005,0.006647,0.300000
1.305005,0.006505,0.300000
1.310005,0.006409,0.300000
1.315005,0.006267,0.300000
1.320006,0.006170,0.300000
1.325006,0.006024,0.300000
1.330006,0.005925,0.300000
1.335006,0.005775,0.300000
1.340007,0.005675,0.300000
1.345007,0.005521,0.300000
1.350007,0.005413,0.300000
1.355007,0.005245,0.300000
1.360008,0.005130,0.300000
1.365008,0.004952,0.300000
1.370008,0.004832,0.300000
1.375008,0.004652,0.300000
1.380008,0.004530,0.300000
1.385009,0.004346,0.300000
1.390009,0.004222,0.300000
1.395009,0.004034,0.300000
1.400009,0.003909,0.300000
1.405010,0.003724,0.300000
1.410010,0.003603,0.300000
1.415010,0.003423,0.300000
1.420010,0.003306,0.300000
1.425011,0.003133,0.300000
1.430011,0.003020,0.300000
1.435011,0.002860,0.300000
1.440011,0.002758,0.300000
1.445011,0.002611,0.300000
1.450012,0.002517,0.300000
1.455012,0.002381,0.300000
1.460012,0.002293,0.300000
1.465012,0.002164,0.300000
1.470013,0.002081,0.300000
1.475013,0.001955,0.300000
1.480013,0.001872,0.300000
1.485013,0.001747,0.300000
1.490014,0.001664,0.300000
1.495014,0.001542,0.300000
1.500014,0.001460,0.300000
1.505014,0.001340,0.300000
1.510015,0.001262,0.300000
1.515015,0.001151,0.300000
1.520015,0.001081,0.300000
1.525015,0.000980,0.300000
1.530015,0.000918,0.300000
1.535016,0.000832,0.300000
1.540016,0.000783,0.300000
1.545016,0.000724,0.300000
1.550016,0.000696,0.300000
1.555017,0.000670,0.300000
1.560017,0.000664,0.300000
1.565017,0.000671,0.300000
1.570017,0.000685,0.300000
1.575018,0.000720,0.300000
1.580018,0.000751,0.300000
1.585018,0.000810,0.300000
1.590018,0.000858,0.300000
1.595019,0.000940,0.300000
1.600019,0.001001,0.300000
1.605019,0.001102,0.300000
1.610019,0.001172,0.300000
1.615019,0.001280,0.300000
1.620020,0.001352,0.300000
1.625020,0.001457,0.300000
1.630020,0.001526,0.300000
1.635020,0.001624,0.300000
1.640021,0.001687,0.300000
1.645021,0.001778,0.300000
1.650021,0.001836,0.300000
1.655021,0.001917,0.300000
1.660022,0.001970,0.300000
1.665022,0.002049,0.300000
1.670022,0.002099,0.300000
1.675022,0.002167,0.300000
1.680022,0.002209,0.300000
1.685023,0.002268,0.300000
1.690023,0.002304,0.300000
1.695023,0.002355,0.300000
