time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
1.690023,0.000253,0.000000,0.000761,0.000000
1.695023,0.000256,0.000000,0.000693,0.000000
1.700023,0.000259,0.000000,0.000619,0.000000
1.705024,0.000262,0.000000,0.000539,0.000000
1.710024,0.000265,0.000000,0.000453,0.000000
1.715024,0.000267,0.000000,0.000362,0.000000
1.720024,0.000268,0.000000,0.000267,0.000000
1.725025,0.000269,0.000000,0.000169,0.000000
1.730025,0.000270,0.000000,0.000067,0.000000
1.735025,0.000270,0.000000,-0.000039,0.000000
1.740025,0.000269,0.000000,-0.000145,0.000000
1.745026,0.000268,0.000000,-0.000249,0.000000
1.750026,0.000267,0.000000,-0.000346,0.000000
1.755026,0.000265,0.000000,-0.000435,0.000000
1.760026,0.000262,0.000000,-0.000516,0.000000
1.765026,0.000260,0.000000,-0.000594,0.000000
1.770027,0.000256,0.000000,-0.000668,0.000000
1.775027,0.000253,0.000000,-0.000740,0.000000
1.780027,0.000249,0.000000,-0.000808,0.000000
1.785027,0.000245,0.000000,-0.000868,0.000000
1.790028,0.000240,0.000000,-0.000921,0.000000
1.795028,0.000235,0.000000,-0.000962,0.000000
1.800028,0.000231,0.000000,-0.000987,0.000000
1.805028,0.000226,0.000000,-0.001001,0.000000
1.810029,0.000221,0.000000,-0.001009,0.000000
1.815029,0.000215,0.000000,-0.001015,0.000000
1.820029,0.000210,0.000000,-0.001023,0.000000
1.825029,0.000205,0.000000,-0.001033,0.000000
1.830029,0.000200,0.000000,-0.001043,0.000000
1.835030,0.000195,0.000000,-0.001048,0.000000
1.840030,0.000190,0.000000,-0.001043,0.000000
1.845030,0.000184,0.000000,-0.001022,0.000000
1.850030,0.000179,0.000000,-0.000984,0.000000
1.855031,0.000175,0.000000,-0.000929,0.000000
1.860031,0.000170,0.000000,-0.000857,0.000000
1.865031,0.000166,0.000000,-0.000773,0.000000
1.870031,0.000163,0.000000,-0.000681,0.000000
1.875032,0.000159,0.000000,-0.000585,0.000000
1.880032,0.000157,0.000000,-0.000493,0.000000
1.885032,0.000155,0.000000,-0.000406,0.000000
1.890032,0.000153,0.000000,-0.000323,0.000000
1.895033,0.000151,0.000000,-0.000237,0.000000
1.900033,0.000151,0.000000,-0.000142,0.000000
1.905033,0.000150,0.000000,-0.000036,0.000000
1.910033,0.000150,0.000000,0.000083,0.000000
1.915033,0.000151,0.000000,0.000213,0.000000
1.920034,0.000153,0.000000,0.000347,0.000000
1.925034,0.000155,0.000000,0.000484,0.000000
1.930034,0.000158,0.000000,0.000617,0.000000
1.935034,0.000161,0.000000,0.000742,0.000000
1.940035,0.000165,0.000000,0.000860,0.000000
1.945035,0.000170,0.000000,0.000969,0.000000
1.950035,0.000175,0.000000,0.001072,0.000000
1.955035,0.000181,0.000000,0.001168,0.000000
1.960036,0.000187,0.000000,0.001261,0.000000
1.965036,0.000193,0.000000,0.001350,0.000000
1.970036,0.000200,0.000000,0.001437,0.000000
1.975036,0.000208,0.000000,0.001521,0.000000
1.980036,0.000216,0.000000,0.001602,0.000000
1.985037,0.000224,0.000000,0.001674,0.000000
1.990037,0.000232,0.000000,0.001734,0.000000
1.995037,0.000241,0.000000,0.001775,0.000000
2.000037,0.000250,0.000000,0.001797,0.000000
2.005037,0.000259,0.000000,0.001797,0.000000
2.010037,0.000268,0.000000,0.001777,0.000000
2.015036,0.000277,0.000000,0.001739,0.000000
2.020036,0.000285,0.000000,0.001688,0.000000
2.025036,0.000294,0.000000,0.001622,0.000000
2.030035,0.000301,0.000000,0.001544,0.000000
2.035035,0.000309,0.000000,0.001455,0.000000
2.040035,0.000316,0.000000,0.001360,0.000000
2.045034,0.000322,0.000000,0.001262,0.000000
2.050034,0.000328,0.000000,0.001163,0.000000
2.055033,0.000334,0.000000,0.001061,0.000000
2.060033,0.000339,0.000000,0.000955,0.000000
2.065033,0.000343,0.000000,0.000840,0.000000
2.070032,0.000347,0.000000,0.000713,0.000000
2.075032,0.000350,0.000000,0.000569,0.000000
2.080032,0.000353,0.000000,0.000407,0.000000
2.085031,0.000354,0.000000,0.000225,0.000000
2.090031,0.000355,0.000000,0.000027,0.000000
2.095031,0.000354,0.000000,-0.000188,0.000000
2.100030,0.000353,0.000000,-0.000417,0.000000
2.105030,0.000350,0.000000,-0.000656,0.000000
2.110029,0.000346,0.000000,-0.000895,0.000000
2.115029,0.000341,0.000000,-0.001133,0.000000
2.120029,0.000334,0.000000,-0.001370,0.000000
2.125028,0.000327,0.000000,-0.001606,0.000000
2.130028,0.000318,0.000000,-0.001835,0.000000
2.135028,0.000308,0.000000,-0.002057,0.000000
2.140027,0.000297,0.000000,-0.002261,0.000000
2.145027,0.000285,0.000000,-0.002442,0.000000
2.150027,0.000273,0.000000,-0.002601,0.000000
2.155026,0.000259,0.000000,-0.002733,0.000000
2.160026,0.000245,0.000000,-0.002839,0.000000
2.165025,0.000231,0.000000,-0.002917,0.000000
2.170025,0.000216,0.000000,-0.002972,0.000000
2.175025,0.000201,0.000000,-0.003013,0.000000
2.180024,0.000186,0.000000,-0.003048,0.000000
2.185024,0.000171,0.000000,-0.003081,0.000000
2.190024,0.000155,0.000000,-0.003113,0.000000
2.195023,0.000139,0.000000,-0.003135,0.000000
2.200023,0.000124,0.000000,-0.003145,0.000000
2.205023,0.000108,0.000000,-0.003140,0.000000
2.210022,0.000092,0.000000,-0.003119,0.000000
2.215022,0.000077,0.000000,-0.003084,0.000000
2.220021,0.000062,0.000000,-0.003037,0.000000
2.225021,0.000047,0.000000,-0.002984,0.000000
2.230021,0.000032,0.000000,-0.002926,0.000000
2.235020,0.000017,0.000000,-0.002862,0.000000
2.240020,0.000003,0.000000,-0.002790,0.000000
2.245020,-0.000010,0.000000,-0.002712,0.000000
2.250019,-0.000024,0.000000,-0.002630,0.000000
2.255019,-0.000037,0.000000,-0.002548,0.000000
2.260019,-0.000049,0.000000,-0.002462,0.000000
2.265018,-0.000061,0.000000,-0.002366,0.000000
2.270018,-0.000073,0.000000,-0.002255,0.000000
2.275017,-0.000084,0.000000,-0.002128,0.000000
2.280017,-0.000094,0.000000,-0.001989,0.000000
2.285017,-0.000103,0.000000,-0.001840,0.000000
2.290016,-0.000112,0.000000,-0.001688,0.000000
2.295016,-0.000120,0.000000,-0.001537,0.000000
2.300016,-0.000127,0.000000,-0.001389,0.000000
2.305015,-0.000134,0.000000,-0.001244,0.000000
2.310015,-0.000140,0.000000,-0.001102,0.000000
2.315015,-0.000145,0.000000,-0.000967,0.000000
2.320014,-0.000149,0.000000,-0.000842,0.000000
2.325014,-0.000153,0.000000,-0.000727,0.000000
2.330014,-0.000156,0.000000,-0.000623,0.000000
2.335013,-0.000159,0.000000,-0.000531,0.000000
2.340013,-0.000162,0.000000,-0.000453,0.000000
2.345012,-0.000164,0.000000,-0.000392,0.000000
2.350012,-0.000165,0.000000,-0.000348,0.000000
2.355012,-0.000167,0.000000,-0.000320,0.000000
2.360011,-0.000169,0.000000,-0.000307,0.000000
2.365011,-0.000170,0.000000,-0.000307,0.000000
2.370011,-0.000172,0.000000,-0.000321,0.000000
2.375010,-0.000173,0.000000,-0.000346,0.000000
2.380010,-0.000175,0.000000,-0.000379,0.000000
2.385010,-0.000177,0.000000,-0.000418,0.000000
2.390009,-0.000180,0.000000,-0.000464,0.000000
2.395009,-0.000182,0.000000,-0.000519,0.000000
2.400008,-0.000185,0.000000,-0.000586,0.000000
2.405008,-0.000188,0.000000,-0.000666,0.000000
2.410008,-0.000192,0.000000,-0.000761,0.000000
2.415007,-0.000196,0.000000,-0.000869,0.000000
2.420007,-0.000200,0.000000,-0.000994,0.000000
2.425007,-0.000206,0.000000,-0.001131,0.000000
2.430006,-0.000212,0.000000,-0.001276,0.000000
2.435006,-0.000219,0.000000,-0.001423,0.000000
2.440006,-0.000226,0.000000,-0.001562,0.000000
2.445005,-0.000234,0.000000,-0.001691,0.000000
2.450005,-0.000243,0.000000,-0.001809,0.000000
2.455004,-0.000253,0.000000,-0.001917,0.000000
2.460004,-0.000263,0.000000,-0.002019,0.000000
2.465004,-0.000273,0.000000,-0.002116,0.000000
2.470003,-0.000284,0.000000,-0.002213,0.000000
2.475003,-0.000295,0.000000,-0.002310,0.000000
2.480003,-0.000307,0.000000,-0.002409,0.000000
2.485002,-0.000319,0.000000,-0.002510,0.000000
2.490002,-0.000332,0.000000,-0.002612,0.000000
2.495002,-0.000346,0.000000,-0.002713,0.000000
2.500001,-0.000359,0.000000,-0.002811,0.000000
2.505001,-0.000374,0.000000,-0.002903,0.000000
2.510000,-0.000389,0.000000,-0.002987,0.000000
2.515000,-0.000404,0.000000,-0.003062,0.000000
2.520000,-0.000419,0.000000,-0.003125,0.000000
2.524999,-0.000435,0.000000,-0.003172,0.000000
2.529999,-0.000451,0.000000,-0.003197,0.000000
2.534999,-0.000467,0.000000,-0.003195,0.000000
2.539998,-0.000483,0.000000,-0.003162,0.000000
2.544998,-0.000498,0.000000,-0.003097,0.000000
2.549998,-0.000514,0.000000,-0.003003,0.000000
2.554997,-0.000528,0.000000,-0.002883,0.000000
2.559997,-0.000542,0.000000,-0.002740,0.000000
2.564996,-0.000556,0.000000,-0.002581,0.000000
2.569996,-0.000568,0.000000,-0.002409,0.000000
2.574996,-0.000579,0.000000,-0.002227,0.000000
2.579995,-0.000590,0.000000,-0.002035,0.000000
2.584995,-0.000600,0.000000,-0.001836,0.000000
2.589995,-0.000608,0.000000,-0.001633,0.000000
2.594994,-0.000616,0.000000,-0.001431,0.000000
2.599994,-0.000622,0.000000,-0.001237,0.000000
2.604994,-0.000628,0.000000,-0.001053,0.000000
2.609993,-0.000633,0.000000,-0.000884,0.000000
2.614993,-0.000637,0.000000,-0.000732,0.000000
2.619992,-0.000640,0.000000,-0.000591,0.000000
